key,kr,en
NEW_GAME,새 게임,New Game
CONTINUE,계속하기,Continue
SETTINGS,설정,Settings
CREDIT,크레딧,Credit
EXIT,종료,Exit
,,
LANGUAGE,언어,Language
DISPLAY_MODE,화면,Display Mode
FULLSCREEN,전체 화면,Fullscreen
BGM,배경음,BGM
SFX,효과음,SFX
BACK,뒤로,Back
,,
MAKE_PARTY,유랑대를 꾸리십시오.,Assemble your Cosmofarers.
START,시작,
PLAYER_TURN,내 턴,
ENEMY_TURN,적 턴,
TURN,턴,
STAT_UP_AMOUNTS,능력치 상승량,
COST,소모,
COND,조건,
STAT_MOD,능력치 보정,
GAIN,획득,
UNLEARNED,습득 이전,
,,
MAX_HEALTH,최대 체력,
HEALTH,체력,
MAX_ENERGY,최대 기력,
ENERGY,기력,
STRENGTH,근력,
INTELLIGENCE,지성,
DEXTERITY,기량,
FAITH,신앙,
CRIT,치명타,
CRIT_MUL,치명타 배율,
ARMOR,방어,
DODGE,회피,
ARMOR_PEN,방어 관통,
ARMOR_PEN_RATE,방어 관통률,
ENERGY_REG,기력 재생,
VIGOR,활기,
EXPOSURE,노출,
LEARN_ABILITY,습득력,
,,
,,
BLUNT,충격,
SLASH,절단,
PIERCE,관통,
NATURE,자연,
ARTIFICIAL,인공,
MYSTIC,신비,
,,
BUFF,강화,
DEBUFF,약화,
RIPOSTE,반격,
ASSIST,보조,
CURSE,저주,
MARK,표식,
WOUND,상처,
FRACTURE,균열,
EXHAUST,탈진,
OVERBREATHING,과호흡,
,,
DMG,피해량,
ENERGY_DMG,기력 피해량,
HEAL,회복,
GAIN_ENERGY,기력 회복,
SHIELD,보호막,
,,
ATTACK,공격,
DISRUPTION,방해,
SUPPORT,지원,
SELF,자신,
ALLY,아군,
ALLY_EXCEPT_SELF,자신 외 아군,
ALL_ALLY,아군 전체,
ALL_ENEMY,적 전체,
TARGET,대상,
SPECIAL_EFFECTS,추가 효과,
,,
,,
ENEMY,적,
ENEMY_MORE_EXP,적 (추가 경험치),
ENEMY_MORE_GOLD,적 (추가 골드),
ENEMY_MORE_EQUIPMENT,적 (추가 장비),
ELITE,정예,
BOSS,보스,
ENCOUNTER,조우,
SHOP,상점,
UNKNOWN,미지,
CHAPTER_EXIT,출구,
,,
,,
HERO,영웅,
HERO_DESC,신의 사랑을 받는 인간 소년.,
HERO_USUAL_0,어떤 일에도 굴하지 않겠어.,
HERO_USUAL_1,무슨 소리지?,
HERO_USUAL_2,스산한 기운이 느껴져.,
HERO_USUAL_3,앞장설게!,
HERO_USUAL_4,이쪽 길로 가자.,
HERO_USUAL_5,저 앞에 무언가 보여.,
HERO_TO_ASTROLOGIST_USUAL_0,우린 죽이 잘 맞는 것 같아!,
HERO_TO_ASTROLOGIST_USUAL_0_APPLY,"내, 내가 너한테 맞춰주고 있는 거라구…",
HERO_TO_ASTROLOGIST_USUAL_1,함께라면 두려울 게 없어! 안 그래?,
HERO_TO_ASTROLOGIST_USUAL_1_APPLY,"응, 안 그래… 여전히 무서워…",
HERO_TO_ASTROLOGIST_USUAL_2,걱정하지 마. 내가 막아줄게!,
HERO_TO_ASTROLOGIST_USUAL_2_APPLY,항상 날 내버려두고 적진에 뛰어들면서!!!,
HERO_COMBAT_FOCUSED_0,준비 됐어!,
HERO_COMBAT_FOCUSED_1,움직일게!,
HERO_COMBAT_FOCUSED_2,맡겨줘!,
HERO_CHAPTER_ENTER_FOREST_0,평범한 숲은 아닌 것 같아.,
,,
,,
ASTROLOGIST,천문학자,
ASTROLOGIST_DESC,우주를 동경하는 인간 소녀.,
ASTROLOGIST_USUAL_0,으으…,
ASTROLOGIST_USUAL_1,(*기어들어가는 목소리로 별자리를 읊음*),
ASTROLOGIST_USUAL_2,"무, 무슨 소리 들리지 않았어?!",
ASTROLOGIST_USUAL_3,저 길로는 절대 가지 않을테야…!,
ASTROLOGIST_USUAL_4,나는 뒤에 딱 붙어서 갈게…,
ASTROLOGIST_USUAL_5,조금만 천천히 가줘…!,
ASTROLOGIST_TO_HERO_USUAL_0,"나 좀 지켜줘, 너무 앞에 나가지 말고…!",
ASTROLOGIST_TO_HERO_USUAL_0_APPLY,알겠어!,
ASTROLOGIST_TO_HERO_USUAL_1,앞을 보고 걸어야지. 그러다 또 넘어지면…,
ASTROLOGIST_TO_HERO_USUAL_1_APPLY,(*엄청난 기세로 고꾸라짐*),
ASTROLOGIST_COMBAT_FOCUSED_0,"내, 내 차례야…?",
ASTROLOGIST_COMBAT_FOCUSED_1,뭐든 해볼게…!,
ASTROLOGIST_COMBAT_FOCUSED_2,저 별이 날 돕기를...,
ASTROLOGIST_CHAPTER_ENTER_FOREST_0,뭔가 튀어나올 것 같아서 무서워...,
,,
,,
FIGHTER,모험가,
FIGHTER_DESC,엘프족의 이름있는 가문의 적녀.,
FIGHTER_USUAL_0,서두르는 건 우아하지 않아요.,
FIGHTER_USUAL_1,제가 있으니 걱정하지 마세요.,
FIGHTER_USUAL_2,원래라면 차 마실 시간일텐데...,
FIGHTER_USUAL_3,저는 긍지 높은 엘프의 대귀족으로서... (*장황한 연설*),
FIGHTER_USUAL_4,악한 존재들은 제가 모두 즈려밟아드리죠.,
FIGHTER_COMBAT_FOCUSED_0,제가 하죠.,
FIGHTER_COMBAT_FOCUSED_1,자신 없다면 물러서세요.,
FIGHTER_COMBAT_FOCUSED_2,이 또한 귀족의 의무.,
FIGHTER_CHAPTER_ENTER_0_0,울창한 삼림이라. 옛날 생각이 나는군요.,
